INDEX	INTERNEL_INDEX	ARTICLE_TITLE	PUBLICATION	LOCATION_COUNTRY	LOCATION_EXACT	LOCATION_TYPE	MONTH	YEAR	SERIOUSNESS	INCIDENT	INCIDENT-CRASH	INCIDENT-CRASH-WITH_ENVIRONMENT	TIME_OF_DAY	WEATHER	ROAD_SURFACE	VEHICLE_GENERAL	DRIVER_AGE	DRIVER_GENDER	DRIVER_NAT_LANG	DRIVER_LOCAL?	DISTRACTED	CAUSE_GIS	WRONG_ATTRIBUTES_BREAKDOWN	PERSISTENT	Link1
36	91	Deja vu -- truck stuck beneath Spaghettiville Bridge	Lowell Sun (Massachusetts)	United States	"@42.6284274,-71.3100084,17z"	Urban	9	2012	medium	crash	crash with environment	overhead bridge	morning/afternoon	no	paved road	truck		M	yes	no	no	missing or incorrect attributes	clearance height	yes	
37	96	IN BRIEF	"Spokesman Review (Spokane, WA)"	United States	"@47.6552652,-117.4203044,17.29z"	Urban	6	2012	medium	crash	crash with environment	overhead bridge	evening/night	no	paved road	truck		M	yes	no	yes	missing or incorrect attributes	clearance height	no	
38	98	"WRONG TURN! SATNAV LEADS TRUCK DRIVER INTO A 6115,000 MISTAKE"	DAILY MAIL (London)	United Kingdom	"@51.8914843,0.8978301,17.47z"	Urban	12	2011	medium	crash	crash with environment	building/wall/guardrail/pole		no	paved road	truck	47	M	no	no	no				
39	102	Satnav sent a young driver to her death down the wrong slip road	The Daily Telegraph (London)	United Kingdom	"@50.8386096,-0.4532489,16.78z"	Rural	5	2012	major-death	crash	crash with vehicle		evening/night	no	paved road	car		F	yes	yes	no	instruction/visualization		no	
40	103	Drive safely	Brattleboro Reformer (Vermont)	United States		Urban	4	2011	major-death	crash	crash with pedestrian			no	paved road	car		F	yes	yes	yes			no	http://www.wcax.com/story/14524745/no-jail-for-woman-who-hit-vt-cyclist-while-gpsing
41	104	"SPARED JAIL, THE SATNAV DRIVER WHO KILLED CYCLIST"	DAILY MAIL (London)	United Kingdom	"@54.865562,-1.8233038,11.44z"	Urban	8	2013	major-death	crash	crash with pedestrian			no	paved road	car	51	M	yes		no	missing or incorrect geographic objects			
42	105	STUCK DRIVER; Lorry stranded on narrow lane in satnav gaffe	Daily Mirror	United Kingdom			12	2012	medium	stranded/stuck			evening/night	no	dirt road	truck		M	no	no	no	missing or incorrect attributes	road characteristics	no	
43	109	Trucker's fatal satnav error	The Daily Telegraph (London)	United Kingdom		Urban	11	2013	major-death	crash	crash with vehicle			no	paved road	car	43	M	yes	yes	yes			no	
44	112	Google says oops over apps that got it wrong; A487 RENAMED A4971 AS TOURISM BOSSES GET CROSS OVER ROADS! 	The Western Mail	United Kingdom			6	2012	low	detour				no							no	geocoding		yes	
45	122	Court penalties don't always make sense	The Advertiser (Australia)	Australia		Urban	3	2015	major-death	crash	crash with vehicle			no	paved road	car	61	M	yes		yes				http://www.adelaidenow.com.au/news/south-australia/alexander-thomas-wooldridge-to-spend-at-least-two-years-in-jail-over-crash-that-killed-four-members-of-one-family-at-hatherleigh-in-sas-southeast/news-story/040bb86180756e7b5138cf04cc5ce76d
